"filename", "language", "HTML", "JavaScript", "PHP", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\CSS\styles.css", "CSS", 0, 0, 0, 0, 639, 110, 119, 868
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\External\LOGIN\auth.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\External\LOGIN\css\style.css", "CSS", 0, 0, 0, 0, 85, 0, 17, 102
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\External\LOGIN\index.php", "PHP", 0, 0, 81, 0, 0, 2, 3, 86
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\External\LOGIN\login.php", "PHP", 0, 0, 101, 0, 0, 4, 8, 113
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\External\LOGIN\logout.php", "PHP", 0, 0, 7, 0, 0, 2, 0, 9
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\External\changelog.json", "JSON", 0, 0, 0, 88, 0, 0, 0, 88
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\External\playedgame.html", "HTML", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\JS\main.js", "JavaScript", 0, 372, 0, 0, 0, 23, 61, 456
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\JS\mweb.js", "JavaScript", 0, 66, 0, 0, 0, 0, 6, 72
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\Pages\about.html", "HTML", 149, 0, 0, 0, 0, 12, 16, 177
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\Pages\changelog.html", "HTML", 120, 0, 0, 0, 0, 11, 11, 142
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\Pages\demo.html", "HTML", 80, 0, 0, 0, 0, 11, 4, 95
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\Pages\qanda.html", "HTML", 323, 0, 0, 0, 0, 10, 32, 365
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\Pages\status.html", "HTML", 125, 0, 0, 0, 0, 12, 20, 157
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\Pages\template.html", "HTML", 186, 0, 0, 0, 0, 13, 36, 235
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\Pages\upcoming.html", "HTML", 188, 0, 0, 0, 0, 13, 33, 234
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\Website\index.html", "HTML", 220, 0, 0, 0, 0, 22, 21, 263
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\CSS\styles.css", "CSS", 0, 0, 0, 0, 592, 45, 125, 762
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\External\LOGIN\auth.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\External\LOGIN\css\style.css", "CSS", 0, 0, 0, 0, 85, 0, 17, 102
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\External\LOGIN\db.php", "PHP", 0, 0, 7, 0, 0, 3, 0, 10
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\External\LOGIN\index.html", "HTML", 62, 0, 0, 0, 0, 0, 0, 62
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\External\LOGIN\index.php", "PHP", 0, 0, 71, 0, 0, 3, 4, 78
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\External\LOGIN\login.html", "HTML", 25, 0, 0, 0, 0, 0, 0, 25
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\External\LOGIN\login.php", "PHP", 0, 0, 46, 0, 0, 6, 0, 52
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\External\LOGIN\logout.php", "PHP", 0, 0, 7, 0, 0, 2, 0, 9
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\External\changelog.html", "HTML", 34, 0, 0, 0, 0, 1, 9, 44
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\External\notice.html", "HTML", 138, 0, 0, 0, 0, 1, 26, 165
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\JS\main.js", "JavaScript", 0, 172, 0, 0, 0, 8, 39, 219
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\JS\mweb.js", "JavaScript", 0, 66, 0, 0, 0, 0, 6, 72
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\Feature\feature0.html", "HTML", 150, 0, 0, 0, 0, 0, 26, 176
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\Feature\feature1.html", "HTML", 151, 0, 0, 0, 0, 0, 26, 177
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\Feature\feature2.html", "HTML", 150, 0, 0, 0, 0, 0, 26, 176
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\Feature\feature3.html", "HTML", 150, 0, 0, 0, 0, 0, 26, 176
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\Feature\feature4.html", "HTML", 150, 0, 0, 0, 0, 0, 26, 176
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\Feature\feature5.html", "HTML", 150, 0, 0, 0, 0, 0, 26, 176
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\about.html", "HTML", 164, 0, 0, 0, 0, 0, 10, 174
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\changelog.html", "HTML", 170, 0, 0, 0, 0, 0, 22, 192
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\login.html", "HTML", 106, 0, 0, 0, 0, 0, 19, 125
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\notices.html", "HTML", 131, 0, 0, 0, 0, 0, 21, 152
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\qanda.html", "HTML", 335, 0, 0, 0, 0, 0, 30, 365
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\status.html", "HTML", 141, 0, 0, 0, 0, 1, 23, 165
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\template.html", "HTML", 204, 0, 0, 0, 0, 0, 28, 232
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\Pages\upcoming.html", "HTML", 170, 0, 0, 0, 0, 0, 22, 192
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\WebGL\temp.html", "HTML", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\98max\OneDrive\Documents\GitHub\12_DGT_WEBSITE\http.reconops.maxinc.cf\index.html", "HTML", 230, 0, 0, 0, 0, 47, 20, 297
"Total", "-", 4231, 676, 332, 88, 1401, 362, 971, 8061